-1711633249;-1626028319;-1445211278;1617351835;2021836882;-1204912043;676404258
-949733139;1769806705;-597208785;-566277230;-1934792387;-603557315;553562395
567758843;-808276634;-1896598083;1022894726;-923985863;74471383;1255499785
-1045867625;-402205782;-1656499799;489865412;-1336616352;574999644;-1753426957
1427475945;1513619536;-1694482586;-975674787;320167115;1139101932;-982132842
-1378329869;-727142570;204267454;2038345292;457420603;1802846618;1701738893
1739519653;-1672963448;-2111790198;-985582387;845657819;-732206704;1625959168
-48294567;-1511050262;-1031690436;-1855749629;-562383009;1043460983;-1839021377
1244484940;-124766822;-143165459;-2089516310;-168696058;1973534407;1315183337
-1607804227;2083490261;-480014767;-179066409;-42470592;989939738;-27116466
-1481725731;-1302167917;1865694068;1432983726;1368809463;-1522161596;1876711561
664896945;-1990060446;1102001888;-58477819;1366918553;-886431682;-1945783604
-2059698718;2027089825;-1690066322;1349101141;-360297494;728039469;1700409538
635587332;-1668852614;-95078334;-1191007656;253179959;626704519;783401015
745863231;-606214420;909591526;-752696916;1490063964;1543184096;-231110969
184741051;-618008943;-1863999272;-524409982;90086509;954023451;-1957125571
607599766;-27505040;-964354757;-2024149522;95874797;1518887430;-172353256
1061207633;-650632092;-794209729;-1867894813;-1048075093;-1220310389;526442345
-1444565188;1459950001;-1910066776;-147727417;1152455891;214651743;-338716670
1208892210;-1045455622
-575305127;-1159760996
139145959;795130059
623062910;488476102
1554060892;903654805
2131287342;2130794068
-1375635066;-412169976
-569816743;1064962886
-1287265999;1900739393
-14059021;-257831444
-78459286;-1596880802
102914297;488980633
-1948935136;-1698971819
1902707894;-1634022507
894440200;421054977
-868917182;30719319
-621881407;1774119549
591571019;1597553139
1960187705;-268256843
-360837097;1054485969
